brand,description,link,price,discount
RED CHIEF,Boots For Men,/red-chief-boots-men/p/itmf3yypjzggzhy4?pid=SHOF9FF37ASRDE7B&lid=LSTSHOF9FF37ASRDE7B9HV7PJ&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_32&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHWo4YGveO365M59ps12owR0NRbbVU68y0SL02Tdg6cWFA%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹2,989",40% off
BERSACHE,"Top Rated,Training Shoes,Walking Shoes,Gym Shoes ,Sport...",/bersache-top-rated-training-shoes-walking-shoes-gym-shoes-sports-shoes-running-men-cricket-shoes-hocket-shoes-vollyboll-shoes-hiking-shoes-casual-shoes-football-badminton-shoes-basketball-trekking-shoes-juta-tennis-shoe-light-weight-comfortable-men-s-boy-s-men/p/itmfb4ee064420a9?pid=SHOFGZXZX6GZTPWB&lid=LSTSHOFGZXZX6GZTPWBWY7RZM&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_33&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFGZXZX6GZTPWB.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹284,43% off
CAMPUS,HURRICANE Running Shoes For Men,/campus-hurricane-running-shoes-men/p/itm0ea6214ceab01?pid=SHOGB542KFFUWH2N&lid=LSTSHOGB542KFFUWH2N5DAXFG&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_34&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOGB542KFFUWH2N.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹899,30% off
CAMPUS,ROYCE-2 Running Shoes For Men,/campus-royce-2-running-shoes-men/p/itm95079a5f93a98?pid=SHOFEHZGZUJ3WB8N&lid=LSTSHOFEHZGZUJ3WB8NTLQP3A&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_35&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFEHZGZUJ3WB8N.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹899,14% off
RED CHIEF,RC3504 Casual For Men,/red-chief-rc3504-casual-men/p/itmf79kgwvqfyydp?pid=SHOF79KGWQVZWMXM&lid=LSTSHOF79KGWQVZWMXMLZOFLP&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_36&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHVXpSev7HFPAO9EKTOuFYSlibf09XVusqvXu43ExVP3YQ%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹2,399",45% off
aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,/aadi-mesh-lightweight-comfort-summer-trendy-walking-outdoor-daily-use-running-shoes-men/p/itm5fd3ef71721ed?pid=SHOFZDBP67BSXRYB&lid=LSTSHOFZDBP67BSXRYBHSYN2Z&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_37&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFZDBP67BSXRYB.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹347,65% off
CAMPUS,MIKE (N) Running Shoes For Men,/campus-mike-n-running-shoes-men/p/itm8f7228d1e224c?pid=SHOG2EYZKZDFCNRK&lid=LSTSHOG2EYZKZDFCNRKTFTTFF&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_38&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOG2EYZKZDFCNRK.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,199",29% off
aadi,Casuals For Men,/aadi-casuals-men/p/itm96df73987d034?pid=SHOG4PFPFDFCVB3Q&lid=LSTSHOG4PFPFDFCVB3QL6C6BU&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_39&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOG4PFPFDFCVB3Q.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹347,65% off
BIRDE,Premium Sports Shoes for Women Walking Shoes For Women,/birde-premium-sports-shoes-women-walking/p/itm3b30964a8588f?pid=SHOGD7N5Z4FMZJZZ&lid=LSTSHOGD7N5Z4FMZJZZGLN0Y8&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_40&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHUTe4zl4wqsAlK7pQToKOf2%2FrMSidG10tmE8YLPG%2FEA1Q%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹499,50% off
aadi,Mesh Running Shoes For Men,/aadi-mesh-running-shoes-men/p/itmb70e7f99a206b?pid=SHOFU459W2HNYTNN&lid=LSTSHOFU459W2HNYTNNJYVRHC&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_41&otracker=search&fm=organic&iid=f8a68d4e-14e4-4be3-8510-1f8e2af45e7a.SHOFU459W2HNYTNN.SEARCH&ppt=None&ppn=None&ssid=iomajyd6q80000001672751103932&qH=b0a8b6f820479900,₹599,40% off
asian,Future-01 running shoes For Men,/asian-future-01-running-shoes-men/p/itmf3xv7anhcngg8?pid=SHOEEBH9YXXS3HTA&lid=LSTSHOEEBH9YXXS3HTAUOV8DK&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_42&otracker=search&fm=organic&iid=f8a68d4e-14e4-4be3-8510-1f8e2af45e7a.SHOEEBH9YXXS3HTA.SEARCH&ppt=None&ppn=None&ssid=iomajyd6q80000001672751103932&qH=b0a8b6f820479900,₹524,25% off
aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,/aadi-synthetic-leather-lightweight-comfort-summer-trendy-walking-outdoor-daily-use-men/p/itm4328ff9836c98?pid=SHOGDFYGDU8GTHYG&lid=LSTSHOGDFYGDU8GTHYGD1VUFS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_43&otracker=search&fm=organic&iid=f8a68d4e-14e4-4be3-8510-1f8e2af45e7a.SHOGDFYGDU8GTHYG.SEARCH&ppt=None&ppn=None&ssid=iomajyd6q80000001672751103932&qH=b0a8b6f820479900,₹649,67% off
Footox,Walking Shoes for Women | Running Shoes | Casual Shoes ...,/footox-walking-shoes-women-running-casual-gym-sport/p/itm6a12712f4b658?pid=SHOGJTCDHYUXHKYB&lid=LSTSHOGJTCDHYUXHKYBRHBQET&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_44&otracker=search&fm=organic&iid=en_fxFwoi93gsOdp2jxwkqA0cVxLAMjPwFeoe3tFSOBs%2Fhocd1VgcxGFPyDKJs9QD2%2FkD2vAIhvBFd1ZeoKUxEbww%3D%3D&ppt=None&ppn=None&ssid=iomajyd6q80000001672751103932&qH=b0a8b6f820479900,₹499,50% off
CAMPUS,ROYCE-2 Running Shoes For Men,/campus-royce-2-running-shoes-men/p/itmc9c953a3c1d0c?pid=DHYFHFV5JHHGJY63&lid=LSTDHYFHFV5JHHGJY63H29YLC&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_45&otracker=search&fm=organic&iid=f8a68d4e-14e4-4be3-8510-1f8e2af45e7a.DHYFHFV5JHHGJY63.SEARCH&ppt=None&ppn=None&ssid=iomajyd6q80000001672751103932&qH=b0a8b6f820479900,₹899,14% off
asian,Crystal-05 Grey Running Shoes for Men I Sport Shoes for...,/asian-crystal-05-grey-running-shoes-men-sport-boys-transparent-sole-technology-crystal-look-cushion-eva-midsole-extra-jump-memory-foam-insole/p/itm17f9c5b7e76c0?pid=SHOG7NEMDZBBK64T&lid=LSTSHOG7NEMDZBBK64TQRKEO6&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_46&otracker=search&fm=organic&iid=f8a68d4e-14e4-4be3-8510-1f8e2af45e7a.SHOG7NEMDZBBK64T.SEARCH&ppt=None&ppn=None&ssid=iomajyd6q80000001672751103932&qH=b0a8b6f820479900,"₹1,199",40% off
aadi,Casuals For Men,/aadi-casuals-men/p/itm96df73987d034?pid=SHOG4PFPFDFCVB3Q&lid=LSTSHOG4PFPFDFCVB3QL6C6BU&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_47&otracker=search&fm=organic&iid=f8a68d4e-14e4-4be3-8510-1f8e2af45e7a.SHOG4PFPFDFCVB3Q.SEARCH&ppt=None&ppn=None&ssid=iomajyd6q80000001672751103932&qH=b0a8b6f820479900,₹347,65% off
Mast & Harbour,Sneakers For Men,/mast-harbour-sneakers-men/p/itmf7y69sndbjxz6?pid=SHOF7XYFHFFHVUVV&lid=LSTSHOF7XYFHFFHVUVVQ3MVEB&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_48&otracker=search&fm=organic&iid=en_fxFwoi93gsOdp2jxwkqA0cVxLAMjPwFeoe3tFSOBs%2FjxDb1h%2F3qAwht02bbdu30pV3uyzJNS0AMUkQ7lFvWFyw%3D%3D&ppt=None&ppn=None&ssid=iomajyd6q80000001672751103932&qH=b0a8b6f820479900,₹824,60% off
PUMA,Jaunt Walking Shoes For Men,/puma-jaunt-walking-shoes-men/p/itmfhus6qyxmsscg?pid=SHOFHUR765MC72VN&lid=LSTSHOFHUR765MC72VN0H1NO0&marketplace=FLIPKART&q=shoes&store=osp&srno=s_2_49&otracker=search&fm=organic&iid=f8a68d4e-14e4-4be3-8510-1f8e2af45e7a.SHOFHUR765MC72VN.SEARCH&ppt=None&ppn=None&ssid=iomajyd6q80000001672751103932&qH=b0a8b6f820479900,"₹1,519",62% off
